timestamp,total,used,available,percent
2025-12-03 21:37:14,228Gi,12Gi,59Gi,18%
2025-12-03 21:37:24,228Gi,12Gi,59Gi,18%
2025-12-03 21:37:34,228Gi,12Gi,59Gi,18%
2025-12-03 21:37:44,228Gi,12Gi,59Gi,18%
2025-12-03 21:37:54,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:04,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:14,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:24,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:34,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:44,228Gi,12Gi,59Gi,18%
2025-12-03 21:38:54,228Gi,12Gi,59Gi,18%
2025-12-03 21:39:04,228Gi,12Gi,59Gi,18%
